INDY PASS ROSTER,,"DISCOUNT (no included tickets) at Indy Allied partners (Mont Ripley, Cherry Peak, King Pine)
DAYS SHARED BETWEEN: Mountain High East/West | Loveland and Loveland Valley | Björkliden and Riksgränsen",,,,,,,,,,,,,,,,,,,,,,,,,"PASS ACCESS KEY: 2/3=2/3 Days | S=Shared Days | 
B=Blackouts Apply | R=Reservations required | 
,Mt. Baldy ON,2023,"1,600 ","2,076 ",476 ,200,47,Independent,,,,,,,,,,1,,,1,,,1,,3,2,2,,,Canada - East,,,Kitzbühel,2021,"2,625 ","6,575 ","3,950 ","1,421",,Independent,,,,,,,,,,,,,,,,,57,7,5,,,Europe - Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe - Switzerland,Andermatt-Sedrun,2022,"4,905 ","8,530 ","3,625 ",,263,Vail Resorts,,2,,,,7,,1,,,,1,,,,4,16,U,5S,,,,,,,,1-7,,,U,Europe - Switzerland,,,Snowmass,2012,"8,110 ","12,510 ","4,400 ","3,342",301,Aspen Skiing Company,,1,1,,,3,,6,2,,1,1,,3,,2,20,2S,7S,"5, B",,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wyoming,Snow King,2020,"6,237 ","7,808 ","1,571 ",500,225,Independent,Public w/Aerial Lifts,,1,,,,,,,1,2,,,,,2,3,9,3B,2B,2,,$575,U.S. - West,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada - Quebec,Camp Fortune,2024,23 ,650 ,627 ,93,71,Sudermann Brothers,Public w/Aerial Lifts,,,,,,,,,4,1,,1,,,,2,8,2,2,,,Canada - East,,Europe - France,Chamonix Mont-Blanc Valley,2022,"3,396 ","12,392 ","8,996 ","29,405",264,Compagnie des Alps,4,7,1,,,5,,3,11,3,,,,28,3,4,73,7,5,,2,Europe - France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crans-Montana,2024,"4,905 ","9,603 ","4,698 ",,117,Vail Resorts,,3,,,,3,,3,,,,1,8,,,4,24,U,5,,,,,,,,1-7,,,U,Europe - Switzerland,,U.S. - Idaho,Sun Valley: Bald ,2022,"5,750 ","9,150 ","3,400 ","2,533",193,Holding Family,,1,,,,3,,5,,2,,,,,,1,12,2S,7S,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centre Vorlage,2025,361 ,787 ,426 ,80,120,Independent,Public w/Aerial Lifts,,,,,,,,,,,3,,,,,1,4,2,2,1-3B,,Canada - East,,,Megève,2025,"3,652 ","6,608 ","2,956 ",,126,Compagnie des Alps,2,10,,,,12,,6,12,2,2,,,49,5,8,108,7,5,,2,Europe - France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disentis,2023,"4,026 ","9,295 ","5,269 ",,263,Independent,2,,,,,,,2,,1,,3,2,,1,1,12,U,5S,,,,,,,,1-7,,,U,Europe - Switzerland,,,Sun Valley: Dollar ,2022,"6,010 ","6,638 ",628 ,296,,Holding Family,,,,,,,,2,,1,1,,,,,1,5,2S,7S,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massif du Sud,2024,"1,316 ","3,002 ","1,686 ",331,144,Independent,Public w/Aerial Lifts,,,,,,,,,1,,,,,1,,,2,2,2,1-3B,,Canada - East,,Europe - Italy,Dolomiti Superski,2021,,,"5,954 ","29,652",,Independent,,,,,,,,,,,,,,,,,450,7,5,,,Europe - Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verbier 4 Vallées,2016,"4,892 ","10,925 ","6,033 ",,240,Independent,,,,,,,,,,,,,,,,,80,5C,5C,,,,,,,,,,,,Europe - Switzerland,,U.S. - Maine,Sugarloaf,2020,"1,417 ","4,165 ","2,748 ","1,360",200,Boyne Resorts,,,,,,,,3,3,1,5,2,,,,1,15,2,7,5B,"1-4, B, S",U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mont Edouard,2025,600 ,"2,077 ","1,477 ",200,217,Quebec Mountain Ski Company,Public w/Aerial Lifts,,,,,,,,,2,,,,,,,1,3,2,2,,,Canada - East,,,Valle d'Aosta,2025,,,,,,Independent,,,,,,,,,,,,,,,,,147,7,5,,,Europe - Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan (Hokkaido),Rusutsu,2018,"1,312 ","3,261 ","1,949 ","2,026",,Kamori Kankō ,,4,,,,,,7,,,6,,,,,4,22,5C,5C,,,,,,,,,,,,Japan (Hokkaido),,,Sunday River,2024,800 ,"3,150 ","2,350 ","1,184",167,Boyne Resorts,,,,,1,1,1,2,5,5,1,1,,,,3,20,2,7,5B,"1-4, B, S",U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mont Habitant,2025,551 ,"1,152 ",601 ,55,130,,Public w/Aerial Lifts,,,,,,,,,2,,,,,,,1,3,2,2,,,Canada - East,,Europe - Switzerland,St. Moritz,2024,,,"4,941 ","86,487",369,Independent,,,,,,,,,,,,,,,,,58,7,5,,,Europe - Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan (Nagano),Able Hakuba Goryu Snow Resort,2017,"2,461 ","5,499 ","3,038 ",297,472,Independent,,1,,,,,,3,1,,7,,,,,,13,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,U.S. - Montana,Big Sky,2018,"6,800 ","11,166 ","4,366 ","5,850",291,Boyne Resorts,1,2,,,2,2,,4,3,9,4,,,3,1,8,39,2,7,5B,"1-4, B, S",U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mont Rigaud,2024,321 ,728 ,407 ,159,59,Independent,Public w/Aerial Lifts,,,,,,,,,2,,,,,,,2,4,2,2,,,Canada - East,,,Zermatt Matterhorn,2019,"5,315 ","12,740 ","7,425 ","3,500",138,Independent,,,,,,,,,,,,,,,,,,7,5,,,Europe - Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakuba 47 Winter Sports Park,2017,"2,690 ","5,295 ","2,605 ",79,472,Independent,,1,,,,,,1,,,4,,,,,1,7,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,U.S. - New Mexico,Taos Ski Valley,2015,"9,350 ","12,450 ","3,100 ","1,294",300,Independent,,,1,,,,,2,2,4,1,,,,,3,13,2,7,5B,"1-4, B, S",U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mont Sutton,2025,"1,312 ","2,808 ","1,496 ",230,140,Independent,Public w/Aerial Lifts,,,,,,,,1,2,,6,,,,,1,10,2B,2,,,Canada - East,,Japan (Fukushima),Nekoma Mountain,2025,"2,297 ","4,390 ","2,093 ",467,315,Hoshino Resorts,,1,,,,,,2,,,11,,,,,1,16,7,5,,,Japan (Fukushima),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakuba Cortina Snow Resort,2017,"2,861 ","4,600 ","1,739 ",124,512,Independent,,,,,,,,2,,,4,,,,,,6,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,U.S. - New York,Whiteface,2025,"1,220 ","4,386 ","3,166 ",299,181,New York State,,1,,,,,,2,3,1,2,,,,,2,11,2,,,,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Owl's Head,2025,872 ,"2,480 ","1,608 ",130,175,,Public w/Aerial Lifts,,,,,,,,2,2,,1,,,,,1,6,2,2,,,Canada - East,,Japan (Gunma),Mt. T,2025,"2,461 ","4,928 ","2,467 ",234,650,Hoshino Resorts,,,,,,,,,,,4,,,,,,5,7,5,,,Japan (Gunma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakuba Happo-One Snow Resort,2017,"2,493 ","6,007 ","3,514 ",544,461,Nippon Ski Resort Development,,1,,,,,,5,,3,11,,,,,1,21,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,U.S. - Utah,Alta,2012,"8,530 ","11,068 ","2,538 ","2,614",526,Independent,,,,,,1,,3,1,1,1,,,1,1,2,11,2,7S,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Val D'Irene,2025,"1,398 ","2,297 ",899 ,72,92,Independent,Public w/Aerial Lifts,,,,,,,,,1,,,1,,,,1,3,2,2,,,Canada - East,,Japan (Hokkaido),Furano,2025,771 ,"3,524 ","2,753 ",479,354,Prince Snow Resorts,1,1,,,,,,2,,,5,,,,,2,11,7,5,,,Japan (Hokkaido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakuba Iwatake Snow Field,2017,"2,461 ","4,229 ","1,768 ",309,433,Nippon Ski Resort Development,,1,,,,,,1,,1,7,,,,,,12,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,,Snowbasin,2022,"6,316 ","9,318 ","3,002 ","3,000",324,Holding Family,1,2,,,,3,,3,,1,,,,,1,2,13,2,7,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vallee Bleue,2025,"1,053 ","1,420 ",367 ,50,155,Independent,Public w/Aerial Lifts,,,,,,,,,1,1,,,,,,1,3,2,2,,,Canada - East,,,Niseko United,2018,853 ,"3,937 ","3,084 ","2,150",669,Independent,,6,,,,2,1,5,1,,12,,,,,7,37,7,5B,"1-4, B, S",2,Japan (Hokkaido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakuba Norikura Onsen Snow Resort,2017,"2,625 ","5,243 ","2,618 ",124,433,Independent,,,,,,,,,,,6,,,,,,9,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,,Snowbird,2013,"7,760 ","11,000 ","3,240 ","2,500",498,Powdr,1,,,,,,,6,2,,2,,,,,3,14,2,7S,5B,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Corralco,2025,"4,724 ","7,874 ","3,150 ","2,475",354,Independent,,,,,,,,,1,,,1,,5,,,,7,2,2,,,Chile,,Japan (Iwate),Appi Kogen Resort,2025,"2,034 ","4,278 ","2,244 ",848,315,,,1,,,,,,3,,,4,,,,,,8,7,5,,,Japan (Iwate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiigatake Snow Resort,2017,"3,084 ","3,937 ",853 ,74,,Independent,,,,,,,,,,,4,,,,,1,5,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,U.S. - Wyoming,Grand Targhee,2020,"7,650 ","9,862 ","2,212 ","2,602",465,Independent,,,,,,1,,2,2,,,,,,,1,6,2,,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Austria,Hochzeiger Bergbahnen Pitztal AG,2025,"4,757 ","8,202 ","3,445 ",,276,,,,,,,,,,,,,,,,,,,9,2B,2,,,Europe - Austria,,Japan (Nagano),Shiga Kogen (18 Combined Ski Areas),2025,"4,364 ","7,569 ","3,205 ","1,500",487,Independent,,5,,,,,,11,1,3,19,,,,,,41,7,5,,,Japan (Nagano),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kashimayari Ski Resort Family Park,2017,"2,723 ","5,085 ","2,362 ",193,374,Nippon Ski Resort Development,,,,,,,,,3,,5,,,,,,8,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,,Jackson Hole,2012,"6,311 ","10,450 ","4,139 ","2,500",369,Independent,1,2,,,,,,6,3,,1,,,,1,2,16,2,"7, R",,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Innsbruck Ski & City Network,2024,"5,741 ","11,023 ","5,282 ","11,614",248,Independent,,,,,,,,,,,,,,,,,,111,2,2,,,Europe - Austria,,Japan (Niigata),Arai Snow Resort,2022,"1,079 ","4,199 ","3,120 ",520,826,Independent,,1,,,,,,2,,,2,,,,,,5,7,5,,,Japan (Niigata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsugaike Mountain Resort,2017,"2,625 ","5,591 ","2,966 ",484,512,Nippon Ski Resort Development,1,1,,,,,,9,,,5,,,,,1,20,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaunertaler Glacier,2025,"7,054 ","10,213 ","3,159 ",,394,Independent,,,,,,,,,,,,,,,,,,8,2,2,,,Europe - Austria,,,Myoko Suginohara Ski Resort,2025,"2,398 ","6,086 ","3,688 ",222,512,Prince Snow Resorts,,1,,,,,,,2,,2,,,,,,5,7,5,,,Japan (Niigata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Resort Hakuba Sanosaka (Sun Alpina Sanosaka),2024,"2,428 ","3,937 ","1,509 ",99,394,Independent,,,,,,,,2,,1,2,,,,,,5,5CS,5CS,,,,,,,,,,,,Japan (Nagano),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pitztaler Gletscherbahn,2025,"5,512 ","11,286 ","5,774 ",,394,,,1,2,,,,1,,,,,,1,1,,,1,7,2B,2,,,Europe - Austria,,Japan (Yamagata),Zao Onsen,2025,"2,559 ","5,449 ","2,890 ",754,632,Independent,2,1,,,,,,4,,2,25,,,,,,35,7,5,,,Japan (Yamagata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - California,Heavenly,2008,"6,565 ","10,040 ","3,475 ","4,800",251,Vail Resorts,1,1,,,,2,,8,1,5,2,,,,2,4,26,U,UB,,,UB,UB,,,,1-7,1-7,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rauriser-Hochalmbahnen,2025,"3,179 ","7,198 ","4,019 ",,177,Independent,,,,,,,,,,,,,,,,,,10,2,2,,,Europe - Austria,,New Zealand,Coronet Peak,2018,"3,829 ","5,344 ","1,516 ",692,79,Independent,,,,,,1,1,1,,,,1,,,,4,8,"7, S, 26, 27","5, S, 26, 27",,"2, S, 26",New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirkwood,2012,"7,800 ","9,800 ","2,000 ","2,300",354,Vail Resorts,,,,,,,,2,1,6,1,1,,,,2,13,U,UB,,,UB,UBSa,,,,1-7,1-7,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ski Welt,2023,"2,034 ","6,132 ","4,098 ",,157,Independent,,,,,,,,,,,,,,,,,,82,2,2,,,Europe - Austria,,,Mt. Hutt,2018,"4,718 ","6,844 ","2,126 ",902,157,Independent,,,,,1,1,,,,1,,,,,,2,5,"7, S, 26, 27","5, S, 26, 27",,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northstar,2010,"6,330 ","8,610 ","2,280 ","3,170",350,Vail Resorts,,1,1,,,1,1,6,1,2,,,,1,1,5,20,U,UB,,,UB,UBSa,,,,1-7,1-7,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steinplatte Tyrol,2025,"2,428 ","6,102 ","3,674 ",,,,,,2,,,2,4,,2,1,,,3,,,,,14,2,2,,,Europe - Austria,,,The Remarkables,2018,"5,282 ","6,375 ","1,093 ",951,146,Independent,,,,,,3,,,1,,,,,,,3,7,"7, S, 26, 27","5, S, 26, 27",,"2, S, 26",New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Colorado,Beaver Creek,2008,"8,100 ","11,440 ","3,340 ","2,082",323,Vail Resorts,,2,,,,,1,12,1,1,1,,,,,7,25,U,10SB,,,5SB,,,,,1-7,,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - Finland,"Levi, Finland",2025,676 ,"1,742 ","1,066 ",370,50,,,,,,,,,,,,,,,,,,,26,2B,2,,,Europe - Finland,,South Korea,Mona Yongpyong,2025,"2,444 ","4,783 ","2,339 ",,81,Independent,,1,,,,2,,3,4,2,2,,,,,1,15,7,5,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breckenridge,2008,"9,600 ","12,840 ","3,240 ","2,908",355,Vail Resorts,,1,,,,5,,8,1,1,4,1,,3,,11,35,U,U,,,5SB,,UA,UB,,1-7,,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe - France,Les 7 Laux,2026,"4,429 ","7,874 ","3,445 ",,,,,,,,,,3,1,2,3,,,3,10,,,2,24,2,2,,,Europe - France,,U.S. - Alaska,Alyeska,2023,269 ,"2,756 ","2,487 ","1,610",669,Independent,1,,,,,,,2,2,,,,,,,2,7,7,5,"1-4, B, S",,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crested Butte,2018,"9,375 ","11,877 ","2,502 ","1,547",236,Vail Resorts,,,,,,,,4,3,3,,2,,,,3,15,U,U,,,5SB,,5B,,,1-7,1-7,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Les Contamines Montjoie (inc. Hauteluce for lifts),2026,"3,819 ","8,159 ","4,341 ",,,,,,4,,,,3,,3,2,,,,,12,,,24,2,2,,,Europe - France,,U.S. - California,Bear Mountain (Big Bear),2018,"7,140 ","8,805 ","1,665 ",198,114,Alterra ,,,,,,1,,2,,2,2,,,,,4,11,U,U,"1-4, B, S",,U.S. - West,$639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keystone,2008,"9,280 ","12,200 ","2,920 ","3,149",235,Vail Resorts,,2,,,,4,,3,1,1,2,,,,,7,20,U,U,,,5SB,,UB,U,,1-7,1-7,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valmorel (Le Grand Domaine),2026,"4,101 ","8,248 ","4,147 ",,,,,,3,,1,,7,,1,5,,1,,25,,1,2,46,2,2,,,Europe - France,,,June Mountain,2018,"7,545 ","10,090 ","2,545 ","1,500",276,Alterra ,,,,,,,,2,,,4,,,,,1,7,U,UB,"1-4, B, S",,U.S. - West,$669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telluride,2018,"8,725 ","12,515 ","3,790 ","2,000",280,Independent,,2,,,,,1,7,1,1,2,,,2,,3,19,7,,,,,,,,,4-7,,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
